metric,algorithm,value,Constraints,percentage,version,pct,diff,dataset
Accuracy,LR,0.6939121648442856,No constraints,0.1,0,0.0,0.0,Public Coverage
Accuracy,RF,0.7035834145285266,No constraints,0.1,0,1.3745704467354014,0.009671249684240935,Public Coverage
Accuracy,SREW,0.6973764930893869,True protected attributes,0.1,0,0.4967658473479908,0.0034643282451012336,Public Coverage
Accuracy,ADDEB,0.6558406409007254,True protected attributes,0.1,0,-5.804996148343777,-0.03807152394356028,Public Coverage
Accuracy,LFR,0.3683735700624301,True protected attributes,0.1,0,-88.37186520376174,-0.32553859478185554,Public Coverage
Accuracy,CALEQ,0.6843491754177041,True protected attributes,0.1,0,-1.3973845180341726,-0.009562989426581514,Public Coverage
Accuracy,ROC,0.6932986900508823,True protected attributes,0.1,0,-0.08848636268998789,-0.0006134747934033458,Public Coverage
Accuracy,EGR,0.7004438670564036,True protected attributes,0.1,0,0.9325090159711502,0.006531702212117962,Public Coverage
Accuracy,GSR,0.6948143336581141,True protected attributes,0.1,0,0.1298431494754282,0.0009021688138284301,Public Coverage
Accuracy,SOFT,0.630327306845657,Noisy protected attributes,0.1,0,-10.08759374821091,-0.06358485799862867,Public Coverage
Accuracy,PRIV,0.6914221789181192,Noisy protected attributes,0.1,0,-0.36012526096032005,-0.002489985926166449,Public Coverage
Accuracy,MDRO,0.6316264299375699,Noisy protected attributes,0.1,0,-9.861166657144494,-0.06228573490671574,Public Coverage
Accuracy,ARL,0.7021760311789542,No protected attributes,0.1,0,1.176893822592251,0.00826386633466858,Public Coverage
Accuracy,DRO,0.3796687236115622,No protected attributes,0.1,0,-82.76779773785763,-0.31424344123272346,Public Coverage
Equal Odds Difference,LR,-0.031564645119183804,No constraints,0.1,0,0.0,0.0,Public Coverage
Equal Odds Difference,RF,-0.01706908557944964,No constraints,0.1,0,-84.9228827886722,0.014495559539734165,Public Coverage
Equal Odds Difference,SREW,-0.0010240967702948578,True protected attributes,0.1,0,-2982.1936007176073,0.030540548348888946,Public Coverage
Equal Odds Difference,ADDEB,0.003518687178936067,True protected attributes,0.1,0,997.0574397218197,0.03508333229811987,Public Coverage
Equal Odds Difference,LFR,0.0,True protected attributes,0.1,0,inf,0.031564645119183804,Public Coverage
Equal Odds Difference,CALEQ,-0.08364838451541304,True protected attributes,0.1,0,62.26508700431901,-0.052083739396229234,Public Coverage
Equal Odds Difference,ROC,0.08473175405457595,True protected attributes,0.1,0,137.25243914914464,0.11629639917375975,Public Coverage
Equal Odds Difference,EGR,-0.006991109734722889,True protected attributes,0.1,0,-351.4969199011571,0.024573535384460915,Public Coverage
Equal Odds Difference,GSR,-0.021978075652699436,True protected attributes,0.1,0,-43.61878454680315,0.009586569466484368,Public Coverage
Equal Odds Difference,SOFT,-0.00012377932980528375,Noisy protected attributes,0.1,0,-25400.740041845347,0.03144086578937852,Public Coverage
Equal Odds Difference,PRIV,-0.0012438218972507797,Noisy protected attributes,0.1,0,-2437.7142168787313,0.030320823221933024,Public Coverage
Equal Odds Difference,MDRO,0.0,Noisy protected attributes,0.1,0,inf,0.031564645119183804,Public Coverage
Equal Odds Difference,ARL,-0.0057413573244491645,No protected attributes,0.1,0,-449.77670497476254,0.02582328779473464,Public Coverage
Equal Odds Difference,DRO,-0.006871611889491005,No protected attributes,0.1,0,-359.3484851415534,0.0246930332296928,Public Coverage
Accuracy,LR,0.6950669409259861,No constraints,0.1,1,0.0,0.0,Public Coverage
Accuracy,RF,0.6978456208725777,No constraints,0.1,1,0.3981797497155881,0.0027786799465916445,Public Coverage
Accuracy,SREW,0.6968351918010898,True protected attributes,0.1,1,0.25375453133090753,0.001768250875103683,Public Coverage
Accuracy,ADDEB,0.6509689293060518,True protected attributes,0.1,1,-6.774211430788846,-0.04409801161993432,Public Coverage
Accuracy,LFR,0.6320233842156544,True protected attributes,0.1,1,-9.974877241064295,-0.06304355671033168,Public Coverage
Accuracy,CALEQ,0.6839883078921728,True protected attributes,0.1,1,-1.6197108789701486,-0.01107863303381329,Public Coverage
Accuracy,ROC,0.6919273934538631,True protected attributes,0.1,1,-0.4537394388234084,-0.003139547472122972,Public Coverage
Accuracy,EGR,0.699758218757894,True protected attributes,0.1,1,0.6704141096384952,0.004691277831907925,Public Coverage
Accuracy,GSR,0.6960773699974739,True protected attributes,0.1,1,0.1451604541448437,0.0010104290714878505,Public Coverage
